Phenotype,Gene,Effect Size,p-value
Y545,AT3G13680,0.002842920367146,1.2940870892546663e-10
Y538,AT4G12240,-0.0006406476322773,8.806743355363876e-08
Y741,AT5G12040,-0.152102132305034,5.16529774086618e-06
Y371,AT1G67530,0.0010311812954276,1.5823426298414653e-08
Y631,AT1G20225,-0.0466218017485187,3.922071867697573e-08
Y631,AT1G45015,-2.252154731865038,3.5828555913525757e-09
Y631,AT1G47915,-1.203355809711529,1.1286451593658695e-09
Y631,AT1G47920,-0.1583486263774098,5.618384049988522e-09
Y631,AT1G49170,-0.271755944559959,5.307703811138353e-07
Y631,AT1G78320,-0.1660133535451909,3.083035763799302e-09
Y631,AT2G02640,-6.711404824862717,3.560771139599199e-07
Y631,AT2G04340,-0.1096109797092359,4.2948357130226237e-07
Y631,AT2G12935,-0.1816662459379757,4.5402449270867855e-08
Y631,AT2G14660,-0.287741944481576,1.0920971128227028e-06
Y631,NA,-0.3938253509351073,1.761297935335122e-06
Y631,AT2G19050,-3.520039474560131,3.159597982645819e-08
Y631,AT2G26120,-4.556212262078109,1.2963772392249289e-06
Y631,AT2G42370,0.330799675930486,1.170238822322404e-06
Y631,AT2G44210,-0.0132678645561107,4.9997957168130916e-08
Y631,AT2G45135,-0.245105670843352,2.3571408236780666e-07
Y631,AT2G46710,0.0334609767332734,5.291319024115329e-07
Y631,AT3G14330,-0.1468149929206263,5.72461389502602e-07
Y631,AT3G45940,-0.1101912555748931,1.3837166131933939e-09
Y631,AT3G61950,-0.1271336423880582,1.4783691689544728e-06
Y631,AT4G00525,-0.4299343732026869,1.8684446880900405e-08
Y631,AT4G01890,-7.67682585312074,1.634704009058825e-08
Y631,AT4G10160,-0.8359587613166757,2.7158208277635285e-08
Y631,AT5G11290,-4.8703354849068266,1.5307278405348439e-09
Y631,AT5G11410,-0.5494323582045856,2.95305644163273e-08
Y631,AT5G43360,-0.4649319762955977,1.4592631437395093e-06
Y631,AT5G66150,-0.294742074714838,8.594365973124877e-07
Y577,AT1G33710,-0.011185448314548,2.0070946468372332e-17
Y577,AT1G47915,-0.0081385932150558,1.2844907037606936e-24
Y577,AT1G47920,-0.0011630853752971,6.2717741876920784e-27
Y577,AT1G52530,-0.0044631100629336,2.4724523256828398e-12
Y577,AT1G64910,-0.0432308269212206,5.71809477379455e-13
Y577,AT1G78320,-0.0009491449082276,1.856138738093134e-16
Y577,AT2G02640,-0.0467364833950182,3.138458068223695e-18
Y577,AT2G12935,-0.0011119903028682,3.4398989799226766e-16
Y577,AT2G14660,-0.0018537067046954,9.058657974323456e-15
Y577,AT2G26120,-0.0277993734356239,8.624081584920638e-13
Y577,AT2G45470,-4.692833422052579e-05,4.775432252865031e-10
Y577,AT3G04330,-0.0251920259257206,9.890329140980264e-15
Y577,AT3G45940,-0.0006682237834787,5.961951323122232e-20
Y577,AT3G61950,-0.0007301571495787,2.874294222565457e-11
Y577,AT4G01890,-0.0515674231024295,8.191967466405843e-21
Y577,AT5G04210,-0.0046509471048742,3.525282282902098e-11
Y577,AT5G11290,-0.0245832820342332,2.822379672233206e-13
Y599,AT5G10200,0.0012882022671919,1.0561461327020404e-05
Y593,AT1G14890,0.0008130524969667,5.53930860019913e-08
Y593,AT2G47680,-0.0010436110740839,2.845965350776513e-07
Y593,AT3G20230,-0.0003755880733315,1.123794445447933e-06
Y593,AT4G00270,-0.0008272024831013,1.493220829788309e-07
Y593,AT5G24850,0.0009499431521467,2.8365533557204344e-07
Y53,AT2G38195,1.2298071870242382,7.72608367691343e-08
Y53,AT3G57230,-0.3661218950596185,6.225033524145579e-07
Y704,AT1G09530,-0.0277124993034676,1.759715636550482e-15
Y704,AT1G12320,-0.0385039216273344,7.493423866831235e-07
Y704,AT1G18330,-0.0167364547231589,7.20543809449383e-07
Y704,AT1G23870,-0.0080109548338912,6.85859596712482e-07
Y704,AT1G35180,-0.0892231986762024,2.982737663902792e-08
Y704,AT1G66140,-0.0244833115555944,4.202340864133819e-08
Y704,AT1G77800,-0.0293907146309455,1.6903466211512229e-06
Y704,AT2G05520,0.00046708980227,2.04744807018059e-06
Y704,AT2G20440,-0.0698965607866689,1.182875603923022e-13
Y704,AT2G28550,0.0045499612000432,8.818319015409337e-09
Y704,AT2G45650,-0.6622084655811332,4.611610063113857e-07
Y704,AT2G45660,-0.0049021904850054,1.9392026478360026e-18
Y704,AT3G05670,-0.0300617090345159,6.802263757693234e-08
Y704,AT3G10150,-0.1001501220874561,6.507258006352531e-10
Y704,AT3G19150,-0.0319932662879723,3.2785286873348795e-09
Y704,AT3G21950,0.0163766805784757,4.595579550418689e-07
Y704,AT3G52840,-0.0045187288436276,3.816360851036504e-07
Y704,AT3G57230,-0.0356194528800747,9.528124918308395e-11
Y704,AT3G57920,-0.1615711024042616,2.853597955977561e-14
Y704,AT3G59880,-0.0562156530316798,1.8220565971199905e-07
Y704,AT4G00620,-0.018449203724572,1.1649060076266572e-07
Y704,AT4G11211,-0.0072317024398721,9.628746931881835e-07
Y704,AT4G17080,-0.0202228261060177,7.403988961538269e-07
Y704,AT4G17810,0.0240623528669569,8.706168024689026e-07
Y704,AT4G33625,-0.0095053123953075,1.6566866588363043e-09
Y704,AT4G34400,-0.1556889805833485,4.105629501024002e-07
Y704,AT5G01190,-0.1313799067988202,9.347499484886697e-08
Y704,AT5G01200,-0.087569514313103,3.307520781172525e-07
Y704,AT5G06130,0.0127620812463843,1.950140942355698e-06
Y704,AT5G06250,-0.2555812378376185,1.7979833520773583e-09
Y704,AT5G10140,0.0020783710709374,3.1319113917195717e-18
Y704,AT5G25900,0.0121120478739085,3.902397277378803e-12
Y704,AT5G49360,-0.0009176613389276,2.501681433496412e-07
Y704,AT5G55120,-0.0102638894949544,3.6409948404807795e-08
Y704,AT5G57520,-0.2215621042801292,9.562859366095449e-07
Y704,AT5G60910,-0.0463315434384368,4.6771186888232465e-09
Y704,AT5G62165,-0.073911921471783,1.6145664217396743e-06
Y704,AT5G63120,-0.066929787564892,3.5857676040508214e-24
Y704,AT5G67360,-0.0039387679698914,8.002963295561434e-07
Y704,AT5G67520,-0.017292141938207,3.626015537468345e-09
Y603,AT1G14890,0.0009160204429413,6.812639827092061e-07
Y603,AT1G61990,0.0009919102343699,5.047906136011766e-06
Y603,AT2G47680,-0.001340146328542,5.8059514568354603e-08
Y603,AT3G20230,-0.0004406985324169,2.9122918615168265e-06
Y603,AT4G00270,-0.000971277433922,4.469624792961062e-07
Y603,AT5G24850,0.0011310450058013,5.88808810017835e-07
Y556,AT1G16900,-0.0542743921141671,5.516373451299409e-07
Y556,AT1G20225,-0.041860430667793,5.766110561607142e-07
Y556,AT1G45015,-2.1736492184724066,2.801691893595889e-08
Y556,AT1G47915,-1.055876002205744,2.1339713999779985e-07
Y556,AT1G47920,-0.1365128642668966,1.1613770938680328e-06
Y556,AT1G78320,-0.155061079848769,7.193875069465475e-08
Y556,AT2G04340,-0.1039291517277233,1.643019728340029e-06
Y556,AT2G19050,-3.156268424171845,1.178363348693785e-06
Y556,AT2G26975,-0.0551093522128065,1.497164403025694e-06
Y556,AT2G44210,-0.0134922945769472,4.8599246604143434e-08
Y556,AT2G45135,-0.2320123982639422,1.4014767140604592e-06
Y556,AT2G46710,0.0340230243050714,6.219007430145434e-07
Y556,AT3G14330,-0.1561157469283784,1.7274396624414161e-07
Y556,AT3G23050,0.0085141644014558,1.705061402706482e-06
Y556,AT3G45940,-0.0932040245187116,3.881818344235957e-07
Y556,AT4G00525,-0.4293699210041053,2.590931762826005e-08
Y556,AT4G01890,-7.118478251502803,3.0993664388070826e-07
Y556,AT4G10160,-0.7699832197349847,4.442399696281579e-07
Y556,AT5G11290,-4.911966703284531,2.345811525319299e-09
Y556,AT5G11410,-0.5326917636009757,1.2439998846837612e-07
Y556,AT5G64880,-0.1311442787661305,7.837008575853242e-07
Y556,AT5G66150,-0.2988520002752692,9.449161638856952e-07
Y111,AT1G08160,0.0131524737003118,2.9902079601637288e-06
Y111,AT1G23830,-0.0161732331468071,1.77671641934903e-06
Y111,AT4G28500,0.0535885753644589,4.0979359412647935e-06
Y111,AT5G12870,0.0663824378731077,2.64899995178942e-06
Y622,AT2G47680,-0.0577267445872591,5.343841950084274e-07
Y622,AT4G20210,0.0038940687393189,6.897674230883434e-08
Y752,AT3G30320,0.064298886367046,3.8031372925651675e-07
Y628,AT1G20225,-0.0439423836039057,6.365086569448674e-07
Y628,AT1G45015,-2.2052602810159594,9.215498645854341e-08
Y628,AT1G47915,-1.1907572210419972,2.6577882968345413e-08
Y628,AT1G47920,-0.1572244010880574,9.686164040767521e-08
Y628,AT1G78320,-0.1675182675669144,3.11243573591199e-08
Y628,AT2G04340,-0.1117286326596357,9.677167229484922e-07
Y628,AT2G12935,-0.1786842332668937,5.90824278299071e-07
Y628,AT2G19050,-3.4499497985364727,4.459669962635989e-07
Y628,AT2G26975,-0.0623430457545717,2.2769147695780617e-07
Y628,AT2G44210,-0.0142039373415945,5.3049331700519717e-08
Y628,AT2G45135,-0.2605417819564342,2.526306797951379e-07
Y628,AT2G46710,0.0365799330608168,4.1553044565668425e-07
Y628,AT3G14330,-0.1688202801248469,9.104937505602463e-08
Y628,AT3G45940,-0.1028994146714648,9.983777315307957e-08
Y628,AT4G00525,-0.4697607568249737,7.295484844009807e-09
Y628,AT4G01890,-7.708182929817507,1.5233546664186996e-07
Y628,AT4G10160,-0.8176813315450498,3.679161288047138e-07
Y628,AT5G11290,-5.445098756282539,3.035817457540296e-10
Y628,AT5G11410,-0.5869281620427313,3.1383030179887405e-08
Y628,AT5G43360,-0.4975345272670929,1.3006125625315476e-06
Y628,AT5G64880,-0.1371112932496359,1.07482524788977e-06
Y628,AT5G66150,-0.3199634902788371,6.874690522173715e-07
Y580,AT1G19690,-0.0009475933411111,1.9009677755188771e-06
Y580,AT3G50560,0.0009466568771061,8.400443900877245e-06
Y580,AT4G14290,0.0016296477343707,5.016844811570367e-06
Y580,AT4G32450,0.0035086395914948,5.503939061169557e-06
Y580,AT5G20450,0.0018626790844461,3.3950716176958265e-08
Y580,AT5G20890,0.0003109147969591,4.251711813182631e-06
Y580,AT5G24850,0.0007039540337186,1.3676671029398884e-06
Y129,AT2G28550,0.0123356141111677,2.483059973169323e-09
Y129,AT5G10140,0.0048027305625935,7.291172633905579e-10
Y129,AT5G63120,-0.0874375116745221,1.6321468620842514e-09
Y123,AT2G20440,-0.0253631100966909,1.9519016931754095e-07
Y123,AT5G10140,0.0008486308898499,3.4267507749821794e-09
Y123,AT5G63120,-0.0171579932275436,2.817645966485108e-09
Y610,AT1G20065,0.0148495209270456,1.7561774026825588e-06
Y610,AT3G57230,0.0350281141871615,2.5480008711068937e-06
Y717,AT5G17880,-0.0135315837804546,5.85290275521959e-07
Y717,AT5G17890,-0.0146212041564247,8.050873905956925e-07
Y37,AT3G57230,-0.1974526194173522,5.331469342450662e-07
Y37,AT5G10140,0.0104188217562917,7.559834518493414e-08
Y617,AT1G14890,0.0436053906535024,9.76820727249444e-07
Y617,AT2G04340,-0.0831539211813704,9.82531653554851e-07
Y617,AT2G22800,0.0452996265633233,4.163782536394087e-06
Y617,AT2G47680,-0.0589949578762451,1.119111719845493e-06
Y617,AT4G20210,0.0037865569938568,6.253867622846278e-07
Y47,AT5G10140,0.0134977077864049,3.505954296682252e-07
Y569,AT1G16900,-0.0557310352807137,1.2039168037601457e-06
Y569,AT1G20225,-0.0446221550978298,4.602482163855979e-07
Y569,AT1G45015,-2.2315606092652227,6.934940104975226e-08
Y569,AT1G47915,-1.1863690330583527,3.264348748569471e-08
Y569,AT1G47920,-0.1567760451900038,1.137920763529525e-07
Y569,AT1G78320,-0.1667996633828546,3.8998546689705363e-08
Y569,AT2G04340,-0.1130560849701957,7.668728045499803e-07
Y569,AT2G12935,-0.1807491226605987,4.683025085945946e-07
Y569,AT2G19050,-3.45049886781294,4.810276551617155e-07
Y569,AT2G26975,-0.0623070779799982,2.55506251309373e-07
Y569,AT2G44210,-0.0141632607363253,6.271215664741061e-08
Y569,AT2G45135,-0.2722644119284649,1.4709684962341018e-07
Y569,AT2G46710,0.0369886274916031,3.293491924472134e-07
Y569,AT3G14330,-0.1695982138832704,8.431545520853172e-08
Y569,AT3G23050,0.0090355857323435,1.8066956686326584e-06
Y569,AT3G45940,-0.1035132819711507,9.099651081015468e-08
Y569,AT4G00525,-0.4671076040490851,1.0508516123307727e-08
Y569,AT4G01890,-7.847112827055741,9.751322564163e-08
Y569,AT4G10160,-0.8154913671993473,4.289602242698444e-07
Y569,AT5G11290,-5.489817686310339,2.40016841003625e-10
Y569,AT5G11410,-0.5859873004092138,3.9177829204764686e-08
Y569,AT5G43360,-0.500854742476447,1.1970421218507537e-06
Y569,AT5G59270,-2.037059179249061,1.3140849811841616e-06
Y569,AT5G64880,-0.1362837990953824,1.341648314944708e-06
Y569,AT5G66150,-0.3228763356977392,5.863390468404265e-07
Y587,AT2G02240,-0.0008830368708617,1.961942569492246e-07
Y587,AT2G04170,-5.782735210935676e-05,6.452443262449359e-07
Y587,AT2G22800,-0.0005724947583586,5.522208546932644e-07
Y587,AT2G22920,-0.0001327324131149,3.482742613632492e-07
Y587,AT4G00690,-0.0036645778281978,4.136954043020491e-07
Y587,AT4G10040,-0.0005043895614902,1.6936690944190296e-07
Y587,AT4G21210,0.0001162894300829,1.6193919891914278e-07
Y587,AT5G10200,-0.0012762881864533,6.100801605257501e-09
Y587,AT5G24850,-0.0007212176560061,1.0329897195941504e-08
Y587,AT5G25230,-0.0002834274026332,1.794122231707751e-07
Y124,AT5G10140,-1.7360464634133343e-05,4.852439406895887e-07
Y563,AT5G18830,0.1859818429229801,8.656965253973868e-08
Y563,AT5G20890,-0.0607156968595836,1.9481518626252358e-08
Y563,AT5G24850,-0.1394605884555136,4.847528840859087e-10
Y625,AT1G06380,0.164753837935674,2.5798828177621457e-06
Y625,AT3G57230,-0.0839040820094167,5.419181870132288e-07
Y625,AT4G20210,0.0047410908518343,3.82719770376536e-09
Y625,AT4G35930,0.065595902875486,4.977647683286128e-07
Y625,AT5G10200,0.1097605280035772,1.8145090772959165e-07
Y625,AT5G24850,0.0591875178355332,5.265106922606713e-07
Y551,AT1G23880,0.0038061953540769,3.02125011223186e-07
Y551,AT1G59700,0.000347946268482,8.965607918251851e-07
Y551,AT1G68610,0.0438150928438429,2.8897343920412237e-06
Y551,AT2G23610,-0.0001473301426166,1.962108105190529e-06
Y551,AT3G16090,0.0014870018349779,3.349708812902724e-06
Y551,AT3G18070,-0.0014959171842109,1.1017779113341443e-06
Y551,AT4G16545,0.0572303814862405,1.6029090904060128e-06
Y551,AT4G18593,0.0022758294199583,4.694076343053984e-07
Y551,AT5G10200,-0.0015284982685348,4.09906149352718e-06
Y551,AT5G18830,0.0013473987862844,2.903587701611573e-06
Y551,AT5G20890,-0.0004088559023408,4.196983760458663e-06
Y551,AT5G23210,-0.0001435160059105,3.5055697915286106e-06
Y551,AT5G24850,-0.0011487943709707,1.165975390975191e-09
Y551,AT5G25230,-0.0003838690135353,2.8835569276819576e-06
Y551,AT5G47800,0.0011860569201152,1.8494975097808e-06
Y54,AT3G15355,-0.080249800289487,4.36793561581728e-07
Y703,AT1G09530,-0.031111073724127,1.4540224733240296e-09
Y703,AT1G35180,-0.1585232063815372,4.648805993522888e-12
Y703,AT1G80960,0.0324040914873896,6.646299304802283e-08
Y703,AT2G20440,-0.0945703169045892,1.2251773725162008e-11
Y703,AT2G45660,-0.0058755071894749,4.784076091953936e-12
Y703,AT3G02780,0.0157245345305544,4.8296066745726926e-08
Y703,AT3G05670,-0.0407632225232047,9.191281274669266e-07
Y703,AT3G10150,-0.1253500247622986,1.1411668556279432e-07
Y703,AT3G19150,-0.0386199891646089,1.6700806205835304e-06
Y703,AT3G52480,-0.0891974601641298,1.463166188263051e-08
Y703,AT3G57230,-0.0423795290948406,1.0909035390654372e-07
Y703,AT3G57920,-0.1672189518821643,1.5899018391155637e-07
Y703,AT4G24540,-0.0312807898160897,7.230103533774161e-10
Y703,AT4G33625,-0.0122385292232884,3.109002770269718e-07
Y703,AT5G03560,0.0411798251092998,1.400400806331764e-06
Y703,AT5G10140,0.0023532587256347,2.1185611078300196e-11
Y703,AT5G24150,-0.0048654208598602,3.922166818043945e-08
Y703,AT5G25900,0.0145436255752072,2.184287707650178e-09
Y703,AT5G51630,0.0176551010436804,2.003890895920368e-06
Y703,AT5G55120,-0.0166192870984468,5.916763696424077e-10
Y703,AT5G56380,0.0140416428984937,1.2526416023758488e-07
Y703,AT5G60910,-0.0606716151651123,3.225334170184041e-07
Y703,AT5G63120,-0.0989863421309883,1.98712936438744e-23
Y570,AT1G23080,-0.01494632002061,1.6364017029393053e-06
Y570,AT1G37150,0.1660771562858464,3.094896589923247e-07
Y570,AT1G45015,2.2706429014883933,5.501374019403432e-07
Y570,AT1G47915,1.135515965425815,1.5714522655020136e-06
Y570,AT1G47920,0.1582035144962562,1.1642517345440504e-06
Y570,AT1G53610,11.592296602663795,2.5122570395768305e-06
Y570,AT1G64910,8.970913409657838,1.3163670348196737e-07
Y570,AT1G78320,0.205022770041075,5.515550221728762e-10
Y570,AT2G11000,0.0882573697381889,2.1023163010227468e-08
Y570,AT2G12935,0.1864910066975336,2.0617128481207976e-06
Y570,AT2G14660,0.3266271181671362,1.8971085989609977e-06
Y570,NA,0.5808967723511357,2.346206299413415e-09
Y570,AT2G19050,4.331751896760576,5.379871224059908e-09
Y570,AT2G21940,0.1787526195607445,1.9758363050064714e-06
Y570,AT2G22480,-0.074477510118165,3.045183019446998e-06
Y570,AT2G25980,0.2323780025804528,1.0927693830571916e-08
Y570,AT2G42360,-0.5893870393090648,3.253333973580531e-07
Y570,AT2G42370,-0.4830836896238361,1.4725498036054346e-09
Y570,AT2G44210,0.0144011464927617,5.706342965863957e-07
Y570,AT2G45135,0.2647943513020403,1.7799654598898266e-06
Y570,AT3G10530,0.0802899645474375,2.3725433040243176e-06
Y570,AT3G14330,0.1736959086096554,6.204084720238831e-07
Y570,AT3G45940,0.1114887358403691,1.2967411253206354e-07
Y570,AT4G00525,0.4806307239944864,7.505648441463601e-08
Y570,AT4G01890,8.273566824201247,2.446825421019307e-07
Y570,AT4G10160,1.126639145240271,9.179247508759407e-11
Y570,AT5G11290,5.00005534270333,1.7186898164729818e-07
Y570,AT5G43360,0.5314030450334223,2.142698305736184e-06
Y137,AT4G13350,-6.965444905614402e-05,2.4254128772465545e-06
Y137,AT5G10140,-1.7984441455742e-05,5.361163696265666e-07
Y140,AT2G20440,-0.2579010276121973,1.142195202569843e-07
Y140,AT2G28550,0.0222979131267506,1.932824121493588e-07
Y140,AT2G40520,0.0722356556656125,1.3913286279544295e-08
Y140,AT5G10140,0.0098665856194865,3.4045227406353e-10
Y140,AT5G41160,0.6346028583514403,9.217189744958097e-08
Y140,AT5G55120,-0.053459472708218,3.337837851114753e-07
Y140,AT5G63120,-0.1940399166589592,1.9367526339532965e-11
Y594,AT1G14890,0.0005355612089479,6.230930209004494e-11
Y594,AT1G14950,0.0051726597610261,3.090765295909978e-07
Y594,AT3G20230,-0.0002375314255243,2.911775626717624e-08
Y594,AT4G00270,-0.0004563262215953,2.0527036462669613e-07
Y594,AT5G24850,0.0006142921759363,1.8364661034971602e-09
Y11,AT1G17810,0.1690446541904109,4.537837393617943e-07
Y11,AT2G28550,0.0196187398013945,1.301909329074387e-07
Y11,AT5G10140,0.0109254546998177,3.227619331523643e-07
Y11,AT5G44400,0.0770011892216021,2.3642397484189385e-07
Y392,AT2G20440,0.0005587869848869,7.373510887120123e-10
Y392,AT2G45660,2.259892674884365e-05,4.83396389056589e-06
Y392,AT5G10140,-1.0859815310839236e-05,6.812911738138495e-06
Y636,AT1G80555,-0.0800920086688384,8.383332948128852e-08
Y542,AT1G14890,0.0002469902627173,1.4834036220848756e-10
Y542,AT3G13190,0.0004262540727829,1.0798670477394e-08
Y542,AT3G13680,0.0036548605662134,4.928551739999143e-09
Y542,AT3G20230,-0.0001116183634873,3.9665290740926134e-08
Y632,AT1G16900,-0.0632816756695801,2.69453713839191e-07
Y632,AT1G20225,-0.0498514801766529,4.561563379811445e-08
Y632,AT1G45015,-2.5462569265311057,2.7058515063686192e-09
Y632,AT1G47915,-1.270984085397494,1.1251042921688091e-08
Y632,AT1G47920,-0.1675385493472704,4.1509187694259744e-08
Y632,AT1G78320,-0.1855119897948319,3.190625955649429e-09
Y632,AT2G02640,-7.367112573456992,6.624195409192703e-07
Y632,AT2G04340,-0.1213119153779426,3.2810388923992225e-07
Y632,AT2G12935,-0.2155510731142233,1.3702792977375588e-08
Y632,AT2G14660,-0.3200621657803661,9.814607527498677e-07
Y632,NA,-0.4700640992638717,4.5493502737977403e-07
Y632,AT2G19050,-3.715227775039394,1.6777813608459059e-07
Y632,AT2G44210,-0.0150051628896118,3.452123587378477e-08
Y632,AT2G45135,-0.287101256803171,9.133836489052369e-08
Y632,AT2G46710,0.0374383366415324,5.006314234929812e-07
Y632,AT3G14330,-0.1790889022046446,3.4751077227766854e-08
Y632,AT3G23050,0.0093015453583501,1.6071380081470534e-06
Y632,AT3G45940,-0.1120806848161277,2.3467237699003428e-08
Y632,AT4G00525,-0.4815090841081906,1.556506187246895e-08
Y632,AT4G01890,-8.091441174752203,1.0576044297774596e-07
Y632,AT4G10160,-0.939283328785924,1.6406963946145302e-08
Y632,AT5G11290,-5.109597070493305,1.5636738377209145e-08
Y632,AT5G11410,-0.6047993993147778,4.9343338177022576e-08
Y632,AT5G43360,-0.5236259240373068,9.927929658126854e-07
Y632,AT5G64880,-0.1424272804870621,9.80895208716206e-07
Y632,AT5G66150,-0.3450632738426987,2.301301726032532e-07
Y372,AT1G06740,0.2476713201367339,3.485826736752352e-09
Y638,AT1G80555,-0.0749543885769151,2.8964905556185283e-06
Y638,AT3G14220,0.0185448762848024,3.2249476869616664e-06
Y638,AT4G24350,-0.1005151423019008,2.536573206554192e-06
Y546,AT1G14890,0.0004392453196067,1.8732241766613865e-08
Y546,AT1G61990,0.0004588665770303,1.2699482248973077e-06
Y546,AT3G13190,0.0007545802733418,7.691856387612337e-07
Y546,AT3G20230,-0.0002211054784471,4.47345364666594e-08
Y546,AT3G23050,5.851149663533684e-05,4.244730680215438e-07
Y546,AT4G00270,-0.0004578685857616,3.017329366721317e-08
Y101,AT5G53000,0.0064448018267219,1.520810295835478e-05
Y600,AT5G10200,0.0014564908259408,1.0834023020733748e-06
Y590,AT1G51840,0.263698812595572,2.2386015951038668e-10
Y590,AT2G44470,1.2053811738831943,7.614970626417721e-10
Y590,AT2G45470,0.0048726590941914,1.667153805020633e-12
Y590,AT3G24300,0.0528678260039266,2.7706391648027267e-09
Y1269,AT3G45910,0.0076900858615915,1.2715250796840089e-12
Y574,AT2G20440,0.0098875175577941,8.011851515607507e-09
Y574,AT2G45660,0.0006718273395518,3.8920484144024495e-08
Y574,AT4G33625,0.0013483500590276,8.350445999403911e-07
Y574,AT5G63120,0.0063680423258948,2.4913777253516587e-09
Y316,AT1G78840,11.038199490979602,1.1017946673101141e-08
Y316,AT3G16900,0.764718757930222,5.065295681320834e-08
Y621,AT1G16900,-0.0488210398728389,8.61513120475674e-07
Y621,AT1G20225,-0.0405173976762995,1.0349284118795885e-07
Y621,AT1G45015,-1.901516789171137,1.135611026118215e-07
Y621,AT2G04340,-0.0995492840018779,5.033177727068001e-07
Y621,AT2G22540,-0.0169935434016138,3.583398704934094e-06
Y621,AT2G22800,0.0529099363847872,3.934140719540774e-06
Y621,AT2G46710,0.030587712369463,7.555072892646789e-07
Y621,AT5G11290,-4.0215366672374895,1.088993982426243e-07
Y555,AT1G70200,0.0314328214029796,1.611635300178023e-06
Y555,AT1G80555,-0.0775637218244181,2.9736773624718607e-06
Y555,AT3G57230,-0.0628740401709681,1.0987935885658197e-06
Y555,AT4G20210,0.0034970415000536,3.12818826178904e-08
Y555,AT5G24850,0.0432457790827128,2.4714775949086764e-06
Y522,AT3G16920,0.0007443224204233,1.368752610855878e-06
Y528,AT5G27890,0.0011861013535395,1.0787157004318872e-06
Y118,AT2G40520,0.0303657375973868,1.899496401217373e-11
Y118,AT5G63120,-0.059912733348877,8.572235318759743e-09
Y619,AT1G14890,0.0551640759449558,6.286577019688909e-08
Y619,AT1G24851,-4.575759970750124,7.719680444482437e-07
Y619,AT2G01220,-0.058653937254547,1.1275739032099878e-06
Y619,AT2G44210,-0.0133097819103142,9.372835798683721e-10
Y619,AT2G45135,-0.2114676217327744,1.5780645521267588e-06
Y619,AT3G14330,-0.1379814851188753,9.444592687873123e-08
Y619,AT5G14880,-0.0298360644514161,2.3472336530155297e-06
Y619,AT5G65609,0.0997220142691695,1.3468945070001091e-06
Y613,AT1G14890,-0.0326252926610334,3.288805374310551e-07
Y613,AT1G45000,-0.0255256460156445,6.877258496915305e-07
Y613,AT2G16370,0.0319146657819976,5.450965223507168e-07
Y613,AT3G13580,-0.0202060219112913,2.727655946985075e-07
Y613,AT3G16090,0.067889264290723,5.61865321628718e-07
Y613,AT3G20230,0.0160524303421899,1.0507191257071471e-06
Y613,AT5G18830,0.0616231864964982,3.985347928193098e-07
Y613,AT5G20890,-0.0226176852443387,1.8600605189386118e-09
Y613,AT5G24850,-0.048681888866579,4.5790219277544524e-10
Y589,AT2G28020,-0.0388342211902694,2.963710972225377e-07
Y589,AT3G22750,-0.0014402035523289,6.229704473623526e-07
Y567,AT1G45015,75.67130722654673,5.391973415458561e-09
Y567,AT1G47915,34.23235531163077,5.021197473695426e-07
Y567,AT1G53610,374.1479037833728,1.0220453971100221e-07
Y567,AT1G64910,292.9431598833627,1.6471019776673095e-09
Y567,AT1G78320,6.870930342599828,3.3481032899378764e-13
Y567,AT2G11000,2.605821618919137,8.792931577001042e-09
Y567,NA,16.41570461402929,5.6620611457607955e-09
Y567,AT2G17250,4.023145758962726,5.092428205552323e-07
Y567,AT2G19050,124.17520465957227,5.87088976052553e-09
Y567,AT2G25980,7.277152266727636,5.235367319789838e-10
Y567,AT2G42370,-13.346608748124837,8.152482170868971e-09
Y567,AT2G44210,0.4820227686830305,5.332544736478034e-09
Y567,AT2G45135,8.661401947700469,4.561651326979024e-08
Y567,AT2G46710,-1.219911662767195,1.2070335459760698e-07
